103165-001-007,solanum macrocarpon,['Naranjilla chlorotic mosaic virus'],0.0706125039669946
103165-001-007,solanum macrocarpon,['Eggplant mosaic virus'],1.0
103165-001-007,solanum macrocarpon,['Grapevine Red Globe virus'],0.7465007776049767
103165-001-008,solanum tuberosum,['Potato virus V'],0.6340708250016126
103165-001-008,solanum tuberosum,['Tomato black ring virus'],0.9560123784261715
103165-001-008,solanum tuberosum,['Fragaria chiloensis latent virus'],0.6724873096446701
103165-001-008,solanum tuberosum,['Red clover bacilliform virus'],0.1691036236490782
103165-001-009,phaseolus vulgaris,['Tomato necrotic spot virus'],0.6315941193427501
103165-001-012,phaseolus vulgaris,['Tomato necrotic spot virus'],0.5903718650908043
103165-001-013,solanum tuberosum,['Pepper mild mottle virus'],0.09619238476953908
103165-001-013,solanum tuberosum,['Tomato black ring virus'],0.9820954907161804
103165-001-013,solanum tuberosum,['Red clover bacilliform virus'],0.2326764144945963
103165-001-015,solanum tuberosum,['Potato virus V'],0.6423272914919693
103165-001-015,solanum tuberosum,['Naranjilla chlorotic mosaic virus'],1.0
103165-001-015,solanum tuberosum,['Potato virus A'],0.3358893967438522
103165-001-015,solanum tuberosum,['Eggplant mosaic virus'],0.3425925925925926
103165-001-015,solanum tuberosum,['Grapevine Red Globe virus'],1.0
103165-001-017,solanum tuberosum,['Potato virus X'],0.043226047904191614
103165-001-017,solanum tuberosum,['Tomato black ring virus'],1.0
103165-001-017,solanum tuberosum,['Tomato necrotic spot virus'],1.0
103165-001-017,solanum tuberosum,['Grapevine chrome mosaic virus'],1.0
103165-001-017,solanum tuberosum,['Cassava Torrado-like virus'],1.0
103165-001-018,solanum tuberosum,['Potato virus A'],0.16023873380425338
103165-001-018,solanum tuberosum,['Fragaria chiloensis latent virus'],1.0
103165-001-018,solanum tuberosum,['Red clover bacilliform virus'],0.5378258105530833
103165-001-019,ligularia,['Tobacco vein clearing virus'],1.0
103165-002-009,unknown,['Cucumber mosaic virus'],1.0
103165-012-005,capsicum annuum,['Lettuce yellow mottle cytorhabdovirus'],1.0
103165-019-015,iris germanica,['Iris severe mosaic virus'],1.0
103165-019-015,iris germanica,['Tobacco ringspot virus'],0.8207924893000138
103165-019-017,hemerocallis,['Tobacco ringspot virus'],0.6870081457959409
103165-019-019,iris germanica,['Iris severe mosaic virus'],0.49138395261173934
103165-019-019,iris germanica,['Tobacco ringspot virus'],1.0
103165-019-021,cucumis sativus,['Cucumber green mottle mosaic virus'],1.0
103165-019-022,hemerocallis,['Tobacco ringspot virus'],0.7060610244373878
103165-019-023,unknown,['Cucumber green mottle mosaic virus'],0.9990651293237769
103165-019-023,unknown,['Beet pseudoyellows virus'],1.0
103165-019-024,cucumis sativus,['Cucumber green mottle mosaic virus'],0.9995325646618884
103165-019-024,cucumis sativus,['Beet pseudoyellows virus'],0.04732868757259001
103165-019-026,hemerocallis,['Tobacco ringspot virus'],0.9690735882921442
103165-020-001,solanum tuberosum,['Plum pox virus'],0.8110492107706593
103165-020-001,solanum tuberosum,['Beihai horseshoe crab virus 1'],0.9523809523809523
103165-020-001,solanum tuberosum,['Cassava satellite virus'],0.9934479934479934
103165-020-002,nepovirus,['Plum pox virus'],0.908727948003714
103165-020-002,nepovirus,['Beihai horseshoe crab virus 1'],0.943104514533086
103165-020-003,unknown,['Plum pox virus'],0.9081708449396472
103165-020-003,unknown,['Beihai horseshoe crab virus 1'],0.9152752009894867
103165-020-003,unknown,['Cherry virus A'],1.0
103165-020-004,nepovirus,['Plum pox virus'],0.9080779944289693
103165-020-006,nepovirus,['Plum pox virus'],0.7298050139275766
103165-020-006,nepovirus,['Beihai horseshoe crab virus 1'],0.20717377860235003
103165-020-006,nepovirus,['Cassava satellite virus'],1.0
103165-020-007,unknown,['Sacbrood virus'],1.0
103165-020-009,unknown,['Sacbrood virus'],0.3646907216494845
103165-020-010,unknown,['Plum pox virus'],0.9080779944289693
103165-020-011,unknown,['Plum pox virus'],0.9071494893221913
103165-020-012,unknown,['Plum pox virus'],0.9078922934076138
103165-020-014,unknown,['Plum pox virus'],0.9076137418755803
103165-020-015,unknown,['Plum pox virus'],0.9074280408542247
103165-020-016,unknown,['Plum pox virus'],1.0
103165-020-020,unknown,['Beihai horseshoe crab virus 1'],0.3525046382189239
103165-020-020,unknown,['Hubei odonate virus 12'],0.6896969696969697
103165-020-020,unknown,['Plum pox virus'],0.4942432683379759
103165-020-020,unknown,['Hubei picorna-like virus 67'],1.0
103165-020-020,unknown,['Hubei picorna-like virus 68'],1.0
103165-020-021,unknown,['Beihai horseshoe crab virus 1'],0.26406926406926406
103165-020-021,unknown,['Blackberry virus Z'],0.09423318010865023
103165-020-021,unknown,['Plum pox virus'],0.9069637883008357
103165-020-021,unknown,['Hubei picorna-like virus 67'],0.5417621328889815
103165-020-021,unknown,['Nephila clavipes virus 2'],1.0
103165-020-021,unknown,['Bundaberg bee virus 2'],0.35914489311163894
103165-020-021,unknown,['Hubei picorna-like virus 68'],0.7426499158140137
103165-020-022,unknown,['Plum pox virus'],0.9074280408542247
