sample,host,viruses with contigs,count_viruses
104326-096-007,solanum lycopersicum,"[['Pepino mosaic virus'], ""'104326-096-007_(trimmed_pairs)_contig_173_(41..261)_consensus_chunk468', '104326-096-007_(trimmed_pairs)_contig_990_(11..300)_consensus_chunk3314', '104326-096-007_(trimmed_pairs)_contig_130_(55..368)_consensus_chunk327', '104326-096-007_(trimmed_pairs)_contig_19745_(24..253)_consensus_chunk34142', '104326-096-007_(trimmed_pairs)_contig_857_(54..281)_consensus_chunk2856', '104326-096-007_(trimmed_pairs)_contig_1_(2..6291)_consensus_chunk1', '104326-096-007_(trimmed_pairs)_contig_2_(841..7159)_consensus_chunk5', '104326-096-007_(trimmed_pairs)_sampled_contig_4_(1..5235)_consensus_chunk12', '104326-096-007_(trimmed_pairs)_sampled_contig_5_(38..5343)_consensus_chunk13'"", ['Tomato blunervirus 1'], ""'104326-096-007_(trimmed_pairs)_contig_329_(403..1871)_consensus_chunk1104', '104326-096-007_(trimmed_pairs)_contig_51_(3693..4718)_consensus_chunk141', '104326-096-007_(trimmed_pairs)_contig_149_(1..272)_consensus_chunk375', '104326-096-007_(trimmed_pairs)_contig_150_(1..272)_consensus_chunk376', '104326-096-007_(trimmed_pairs)_sampled_contig_1_(4895..5566)_consensus_chunk7', '104326-096-007_(trimmed_pairs)_sampled_contig_1_(3301..4592)_consensus_chunk5'""]"
104326-096-003,solanum lycopersicum,"[['Southern tomato virus'], ""'104326-096-003_(trimmed_pairs)_contig_1451_(5..3379)_consensus_chunk4562'""]"
104326-096-002,solanum lycopersicum,"[['Southern tomato virus'], ""'104326-096-002_(trimmed_pairs)_contig_2429_(2171..2280)_consensus_chunk4372', '104326-096-002_(trimmed_pairs)_contig_2429_(2384..3304)_consensus_chunk4374', '104326-096-002_(trimmed_pairs)_contig_2429_(633..894)_consensus_chunk4366', '104326-096-002_(trimmed_pairs)_contig_2429_(1942..2092)_consensus_chunk4367', '104326-096-002_(trimmed_pairs)_contig_2429_(51..169)_consensus_chunk4362', '104326-096-002_(trimmed_pairs)_contig_2429_(319..469)_consensus_chunk4363'"", ['Tomato blunervirus 1'], ""'104326-096-002_(trimmed_pairs)_contig_64_(1..5853)_consensus_chunk217'"", ['Pepino mosaic virus'], ""'104326-096-002_(trimmed_pairs)_contig_5_(1..6685)_consensus_chunk6', '104326-096-002_(trimmed_pairs)_contig_12_(65..6577)_consensus_chunk15', '104326-096-002_(trimmed_pairs)_sampled_contig_6_(1..6313)_consensus_chunk8', '104326-096-002_(trimmed_pairs)_sampled_contig_7_(1..6292)_consensus_chunk10'""]"
